title,overview,genres,poster_path,vote_average,genres_cleaned
Karuppu,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.","['Action', 'Fantasy']",/4KZXlZ5tTT6ghbW77gS4hSLkCd7.jpg,7.364,[]
The Devil Wears Prada,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.","['Drama', 'Comedy']",/8912AsVuS7Sj915apArUFbv6F9L.jpg,7.427,[]
Over Your Dead Body,"A dysfunctional couple head to a remote cabin to ""reconnect"", but each has secret intentions to kill the other.","['Action', 'Comedy', 'Thriller']",/6yPvopLmtoyxzJt6Cr0BRyFxtrd.jpg,6.8,[]
Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.","['Action', 'Fantasy', 'Adventure']",/ybrX94xQm8lXYpZAPRmwD9iIbWP.jpg,7.036,[]
Rape of Love,"Nicole, nurse in Grenoble, is raped one night by four men. Deeply scarred, emotionally and physically, she thinks she will never recover from the trauma. Following a friend's advice, she decides to file a lawsuit.",['Drama'],/qVGL9xgGCzXtRwexUTmpz7z1MVg.jpg,5.6,[]
Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.","['Adventure', 'Animation', 'Comedy', 'Family', 'Science Fiction']",/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,8.2,[]
Damage,The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,"['Drama', 'Romance']",/alf3JOPP7EYP0iO24gwe5YfRnqo.jpg,6.555,[]
Zero Woman 2,"When a valuable suitcase is stolen, the mob, petty criminals, and a beautiful agent from the Elite Zero division are pulled into a battle to settle the score.","['Action', 'Thriller']",/sQHeDjwmBQba8E51Mkp5dvgkzeZ.jpg,5.0,[]
Hokum,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",['Horror'],/jKPWwsbAM6HKURPYQ1eG8DmKMKn.jpg,7.1,[]
Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.","['Animation', 'Action', 'Fantasy']",/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,7.728,[]
Infiltrate,"In a city overrun by crime, government Agent Lily Chen is forced to choose between her duty and her family when her husband is kidnapped, and she’s blackmailed into assassinating high-level criminals to save him. As she delves deeper into the criminal underworld, Lily’s relentless pursuit of justice unravels a web of corruption, leading to a final, life-altering decision that will change her world forever.","['Action', 'Thriller']",/8Cw8GF9wG63kF8pRRXwOx2kXGt.jpg,5.469,[]
Apex,A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,"['Action', 'Thriller']",/eTp7gSPkSF3Aw79mNx1NkBP1PZT.jpg,6.736,[]
GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.","['Animation', 'Comedy', 'Family']",/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,8.117,[]
Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.","['Music', 'Drama']",/3Qud19bBUrrJAzy0Ilm8gRJlJXP.jpg,7.57,[]
Rocky Aur Rani Kii Prem Kahaani,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?","['Comedy', 'Drama', 'Family', 'Romance']",/vTQIqlxUkOuyf2UKhlM2OUaFGKz.jpg,6.201,[]
Bhooth Bangla,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.","['Horror', 'Comedy']",/79RBp8afL4u4z3nVGR78z6eIvBB.jpg,6.5,[]
Dhurandhar,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.","['Action', 'Crime', 'Thriller']",/8FHOtUpNIk5ZPEay2N2EY5lrxkv.jpg,7.155,[]
Disforia,"Set in the near future against the backdrop of widespread looting and societal collapse, the couple formed by Esther and Tomás and their daughter Say move to their summer house so they can promptly sell it and then flee from their country to France, drawing attention from a ring of voyeurs of real-life torture streamed on the dark web.","['Horror', 'Thriller']",/49pzxbf1Eftz7wQZdVDVl8OM9bg.jpg,4.833,[]
The Photographer,"Inna, a young post-mortem photographer, arrives at a remote orphanage in northern Spain to capture the final image of Alejandra, a girl found dead under mysterious circumstances. But as her lens lingers on the tragedy, Inna begins to sense a dark presence within the orphanage's walls-an evil that refuses to remain hidden and threatens to make her its next subject.","['Horror', 'Thriller']",/95pZ9yB5SABddzaINITvZd7SvER.jpg,4.0,[]
Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","['Adventure', 'Animation', 'Comedy', 'Family', 'Mystery']",/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,7.648,[]
Madness,"An escaped convicted murderer invades the cottage of a man, his wife and the wife's sister, whereupon he proceeds to torment this already dysfunctional trio with rape and violence.","['Thriller', 'Action', 'Crime']",/gV0J0Fqw2mYMtQbzb0ruxv9MAeZ.jpg,4.969,[]
Beast,"MMA legend Patton James, now a commercial fisherman, is pulled back into the cage when his brother is in danger. Reuniting with his old coach Sammy, he commits to one final fight in one championship against the brutal champion Xavier Grau.","['Action', 'Drama']",/7NrvUI3vnW8H3rD7ExKcTL7KRcQ.jpg,6.228,[]
Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.","['Action', 'Science Fiction', 'Drama']",/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,7.094,[]
Addicted,A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.,"['Drama', 'Thriller']",/fAERrD6vvmznDoL99wlgjhSfPcH.jpg,5.918,[]
After We Fell,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","['Drama', 'Romance']",/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,7.004,[]
